sku_id,vendor_slug,vendor_brand,vendor_tier,vendor_status,name,peptide_canonical,peptide_variant,dose_value,dose_unit,format,concentration,bottle_size,list_price_usd,sale_price_usd,sale_observed_at,per_mg_price_usd,volume_tier_label,bundle_membership,crypto_discount_pct,subscription_price_usd,out_of_stock,url,raw_artifact,evidence_entry_id
accelerate-labs:al3-r-10mg,accelerate-labs,Accelerate Labs,3,ok,AL3-(R) 10MG,Retatrutide,other,10,mg,vial,,,239.99,,,24.0,,[],0,,uncertain,https://accelerate-labs.us/product/al3-r-10mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:tb-500-5mg,accelerate-labs,Accelerate Labs,3,ok,TB-500 5MG,TB-500,acetate,5,mg,vial,,,81.0,,,16.2,,[],0,,false,https://accelerate-labs.us/product/tb-500-5mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:bpc-157-5mg,accelerate-labs,Accelerate Labs,3,ok,BPC-157 5MG,BPC-157,other,5,mg,vial,,,54.99,,,11.0,,[],0,,false,https://accelerate-labs.us/product/%f0%9f%a7%ac-bpc-157-5mg/,03_raw_fetches/accelerate-labs/product_1__bpc-157-5mg.md,claim-skus
accelerate-labs:bpc-157-10mg,accelerate-labs,Accelerate Labs,3,ok,BPC-157 10MG,BPC-157,other,10,mg,vial,,,100.0,,,10.0,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-bpc-157-10mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:ghk-cu-50mg,accelerate-labs,Accelerate Labs,3,ok,GHK-CU 50MG,GHK-Cu,other,50,mg,vial,,,70.0,,,1.4,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-ghk-cu-50mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:mots-c-10mg,accelerate-labs,Accelerate Labs,3,ok,MOTS-c 10MG,MOTS-c,other,10,mg,vial,,,110.0,,,11.0,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-mots-c-10mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:selank-10mg,accelerate-labs,Accelerate Labs,3,ok,Selank 10MG,Selank,other,10,mg,vial,,,55.0,,,5.5,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-selank-10mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:sermorelin-5mg,accelerate-labs,Accelerate Labs,3,ok,Sermorelin 5MG,Sermorelin,acetate,5,mg,vial,,,65.0,,,13.0,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-sermorelin-5mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:ipamorelin-5mg,accelerate-labs,Accelerate Labs,3,ok,Ipamorelin 5MG,Ipamorelin,other,5,mg,vial,,,42.99,,,8.6,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-ipamorelin-5mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:cjc-1295-2mg,accelerate-labs,Accelerate Labs,3,ok,CJC-1295 2MG,CJC-1295,other,2,mg,vial,,,31.99,,,16.0,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-cjc-1295-2mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:cjc-1295-dac-2mg,accelerate-labs,Accelerate Labs,3,ok,CJC-1295 DAC 2MG,CJC-1295,other,2,mg,vial,,,34.99,,,17.5,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-cjc-1295-dac-2mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:kpv-5mg,accelerate-labs,Accelerate Labs,3,ok,KPV 5MG,KPV,other,5,mg,vial,,,55.0,,,11.0,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-kpv-5mg-2/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:tesamorelin-5mg,accelerate-labs,Accelerate Labs,3,ok,Tesamorelin 5MG,other,acetate,5,mg,vial,,,75.0,,,15.0,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-tesamorelin-5mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:bpc-157-tb-500-blend,accelerate-labs,Accelerate Labs,3,ok,"BPC-157 5MG, TB-500 5MG (Blend)",BPC-157,other,10,mg,vial,,,118.99,,,11.9,,"[""bpc-tb-blend""]",0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-bpc-157-5mg-tb-500-5mg-blend/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:cjc-1295-ipamorelin-blend,accelerate-labs,Accelerate Labs,3,ok,"CJC-1295 5MG, Ipamorelin 5MG (Blend)",CJC-1295,other,10,mg,vial,,,91.99,,,9.2,,"[""cjc-ipa-blend""]",0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-cjc-1295-5mg-ipamorelin-5mg-blend/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:cagrilintide-al1-s-blend,accelerate-labs,Accelerate Labs,3,ok,Cagrilintide + AL1-(S),Semaglutide,other,10,mg,vial,,,219.99,,,22.0,,"[""cagrilintide-sema-blend""]",0,,uncertain,https://accelerate-labs.us/product/cagrilintide-al1-s/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:igf-1-lr3-1mg,accelerate-labs,Accelerate Labs,3,ok,IGF-1 LR3 1MG,IGF-1 LR3,other,1,mg,vial,,,169.99,,,169.99,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-igf-1-lr3-1mg-2/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:aod-9604-5mg,accelerate-labs,Accelerate Labs,3,ok,AOD-9604 5MG,AOD-9604,other,5,mg,vial,,,51.99,,,10.4,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-aod-9604-5mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:ll-37-10mg,accelerate-labs,Accelerate Labs,3,ok,LL-37 10MG,LL-37,other,10,mg,vial,,,179.99,,,18.0,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-ll-37-10mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
accelerate-labs:nad-500mg,accelerate-labs,Accelerate Labs,3,ok,NAD+ 500MG,other,other,500,mg,vial,,,239.97,,,0.48,,[],0,,uncertain,https://accelerate-labs.us/product/%f0%9f%a7%ac-nad-500mg/,03_raw_fetches/accelerate-labs/catalog_1.md,claim-skus
aio-peptides:bpc-157-10mg,aio-peptides,AIO Peptides,2,ok,BPC-157 10mg,BPC-157,,10,mg,vial,,,67.0,53.6,2025-11-11T00:00:00Z,6.7,,[],0,,false,https://aiopeptides.com/product/bpc-157-10mg/,03_raw_fetches/aio-peptides/product_1__bpc-157-10mg.md,claim-16
aio-peptides:tb-500-10mg,aio-peptides,AIO Peptides,2,ok,TB-500 10mg,TB-500,,10,mg,vial,,,62.0,49.6,2025-11-11T00:00:00Z,6.2,,"[""GLOW 70mg bundle"", ""KLOW 80mg bundle""]",0,,false,https://aiopeptides.com/product/tb-500-10mg-thymosin-beta-4-tβ4/,03_raw_fetches/aio-peptides/product_2__tb-500-10mg.md,claim-17
aio-peptides:bpc-157-tb-500-blend-5mg-5mg,aio-peptides,AIO Peptides,2,ok,BPC-157 / TB-500 Blend 5mg/5mg,other,,10,mg,vial,,,55.0,44.0,2025-11-11T00:00:00Z,5.5,,[],0,,false,https://aiopeptides.com/product/bpc-157-tb-500-blend-5mg-5mg/,03_raw_fetches/aio-peptides/catalog_1.md,claim-18
aio-peptides:glp1-sema-10mg,aio-peptides,AIO Peptides,2,ok,GLP-1 SEMA 10mg,Semaglutide,,10,mg,vial,,,75.0,60.0,2025-11-11T00:00:00Z,7.5,,[],0,,false,https://aiopeptides.com/product/sm-10mg/,03_raw_fetches/aio-peptides/product_3__glp1-sema-10mg.md,claim-19
aio-peptides:glp2-tirz-15mg,aio-peptides,AIO Peptides,2,ok,GLP-2 TIRZ 15mg,Tirzepatide,,15,mg,vial,,,108.0,86.4,2025-11-11T00:00:00Z,7.2,,[],0,,false,https://aiopeptides.com/product/tz-15mg/,03_raw_fetches/aio-peptides/product_4__glp2-tirz-15mg.md,claim-20
aio-peptides:glp2-tirz-20mg,aio-peptides,AIO Peptides,2,ok,GLP-2 TIRZ 20mg,Tirzepatide,,20,mg,vial,,,140.0,112.0,2025-11-11T00:00:00Z,7.0,,[],0,,false,https://aiopeptides.com/product/tz-20mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-21
aio-peptides:glp2-tirz-30mg,aio-peptides,AIO Peptides,2,ok,GLP-2 TIRZ 30mg,Tirzepatide,,30,mg,vial,,,189.0,151.2,2026-01-16T00:00:00Z,6.3,,[],0,,false,https://aiopeptides.com/product/tz-30mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-22
aio-peptides:glp2-tirz-60mg,aio-peptides,AIO Peptides,2,ok,GLP-2 TIRZ 60mg,Tirzepatide,,60,mg,vial,,,325.0,260.0,2025-11-11T00:00:00Z,5.42,,[],0,,false,https://aiopeptides.com/product/tz-60mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-23
aio-peptides:glp3-reta-10mg,aio-peptides,AIO Peptides,2,ok,GLP-3 RETA 10mg,Retatrutide,,10,mg,vial,,,80.0,64.0,2026-01-16T00:00:00Z,8.0,,[],0,,false,https://aiopeptides.com/product/rt-10mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-24
aio-peptides:glp3-reta-20mg,aio-peptides,AIO Peptides,2,ok,GLP-3 RETA 20mg,Retatrutide,,20,mg,vial,,,155.0,124.0,2026-01-16T00:00:00Z,7.75,,[],0,,false,https://aiopeptides.com/product/rt-20mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-25
aio-peptides:glp3-reta-30mg,aio-peptides,AIO Peptides,2,ok,GLP-3 RETA 30mg,Retatrutide,,30,mg,vial,,,230.0,184.0,2026-01-16T00:00:00Z,7.67,,[],0,,false,https://aiopeptides.com/product/rt-30mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-26
aio-peptides:cagrilintide-10mg,aio-peptides,AIO Peptides,2,ok,Cagrilintide 10mg,other,,10,mg,vial,,,128.0,102.4,2025-11-11T00:00:00Z,12.8,,[],0,,false,https://aiopeptides.com/product/cagrilintide-10mg/,03_raw_fetches/aio-peptides/catalog_1.md,claim-27
aio-peptides:nad-500mg,aio-peptides,AIO Peptides,2,ok,NAD+ 500mg,other,,500,mg,vial,,,62.0,49.6,2026-01-16T00:00:00Z,0.124,,[],0,,false,https://aiopeptides.com/product/nad-500mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-28
aio-peptides:aod-9604-5mg,aio-peptides,AIO Peptides,2,ok,AOD 9604 5mg,AOD-9604,,5,mg,vial,,,42.0,33.6,2025-11-11T00:00:00Z,8.4,,[],0,,false,https://aiopeptides.com/product/aod-9604-5mg/,03_raw_fetches/aio-peptides/catalog_1.md,claim-29
aio-peptides:ipamorelin-5mg,aio-peptides,AIO Peptides,2,ok,Ipamorelin 5mg,Ipamorelin,,5,mg,vial,,,30.0,24.0,2026-01-16T00:00:00Z,6.0,,[],0,,false,https://aiopeptides.com/product/ipamorelin-5mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-30
aio-peptides:ipamorelin-cjc1295-nodac-5mg-5mg,aio-peptides,AIO Peptides,2,ok,Ipamorelin/CJC-1295 (no DAC) 5mg/5mg,other,,10,mg,vial,,,43.0,34.4,2026-01-16T00:00:00Z,4.3,,[],0,,false,https://aiopeptides.com/product/ipamorelin-cjc-1295-no-dac-5mg-5mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-31
aio-peptides:sermorelin-5mg,aio-peptides,AIO Peptides,2,ok,Sermorelin 5mg,other,,5,mg,vial,,,40.0,32.0,2026-01-16T00:00:00Z,8.0,,[],0,,false,https://aiopeptides.com/product/sermorelin-5mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-32
aio-peptides:tesamorelin-10mg,aio-peptides,AIO Peptides,2,ok,Tesamorelin 10mg,other,,10,mg,vial,,,70.0,56.0,2026-01-16T00:00:00Z,7.0,,[],0,,false,https://aiopeptides.com/product/tesamorelin-10mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-33
aio-peptides:tesamorelin-20mg,aio-peptides,AIO Peptides,2,ok,Tesamorelin 20mg,other,,20,mg,vial,,,132.0,105.6,2026-01-16T00:00:00Z,6.6,,[],0,,false,https://aiopeptides.com/product/tesamorelin-20mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-34
aio-peptides:ghk-cu-100mg,aio-peptides,AIO Peptides,2,ok,GHK-Cu 100mg,GHK-Cu,,100,mg,vial,,,45.0,36.0,2026-01-16T00:00:00Z,0.45,,"[""GLOW 70mg bundle""]",0,,false,https://aiopeptides.com/product/ghk-cu-100mg/,03_raw_fetches/aio-peptides/catalog_2.md,claim-35
aio-peptides:glow-70mg,aio-peptides,AIO Peptides,2,ok,GLOW 70mg (GHK-Cu 50mg + BPC-157 10mg + TB-500 10mg),other,,70,mg,vial,,,120.0,96.0,2026-01-16T00:00:00Z,1.71,,[],0,,false,https://aiopeptides.com/product/glow-ghk-cu-50mg-bpc-157-10mg-tb-500-10mg/,03_raw_fetches/aio-peptides/catalog_2.md,claim-36
aio-peptides:klow-80mg,aio-peptides,AIO Peptides,2,ok,KLOW 80mg,other,,80,mg,vial,,,145.0,116.0,2026-01-16T00:00:00Z,1.81,,[],0,,false,https://aiopeptides.com/product/klow-50mg-10mg-10mg-10mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-37
aio-peptides:dsip-5mg,aio-peptides,AIO Peptides,2,ok,DSIP 5mg,DSIP,,5,mg,vial,,,30.0,24.0,2025-11-11T00:00:00Z,6.0,,[],0,,false,https://aiopeptides.com/product/dsip-5mg/,03_raw_fetches/aio-peptides/catalog_1.md,claim-38
aio-peptides:ss-31-10mg,aio-peptides,AIO Peptides,2,ok,SS-31 10mg,SS-31,,10,mg,vial,,,48.0,38.4,2025-11-11T00:00:00Z,4.8,,[],0,,false,https://aiopeptides.com/product/ss-31-10mg/,03_raw_fetches/aio-peptides/catalog_1.md,claim-39
aio-peptides:igf-lr3-1mg,aio-peptides,AIO Peptides,2,ok,IGF-LR3 1mg,IGF-1 LR3,,1,mg,vial,,,58.0,46.4,2026-01-16T00:00:00Z,58.0,,[],0,,false,https://aiopeptides.com/product/igf-lr3-1mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-40
aio-peptides:5-amino-1mq-10mg,aio-peptides,AIO Peptides,2,ok,5-Amino-1mq 10mg,5-Amino-1MQ,,10,mg,vial,,,68.0,54.4,2025-11-11T00:00:00Z,6.8,,[],0,,false,https://aiopeptides.com/product/5-amino-1mq-10mg/,03_raw_fetches/aio-peptides/catalog_1.md,claim-41
aio-peptides:selank-10mg,aio-peptides,AIO Peptides,2,ok,Selank 10mg,Selank,,10,mg,vial,,,48.0,38.4,2026-01-16T00:00:00Z,4.8,,[],0,,false,https://aiopeptides.com/product/selank-10mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-42
aio-peptides:semax-10mg,aio-peptides,AIO Peptides,2,ok,Semax 10mg,Semax,,10,mg,vial,,,48.0,38.4,2026-01-16T00:00:00Z,4.8,,[],0,,false,https://aiopeptides.com/product/semax-10mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-43
aio-peptides:mots-c-10mg,aio-peptides,AIO Peptides,2,ok,MOTS-C 10mg,MOTS-c,,10,mg,vial,,,43.0,34.4,2026-01-16T00:00:00Z,4.3,,[],0,,false,https://aiopeptides.com/product/mots-c-10mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-44
aio-peptides:glutathione-1200mg,aio-peptides,AIO Peptides,2,ok,Glutathione 1200mg,other,,1200,mg,vial,,,70.0,56.0,2026-01-16T00:00:00Z,0.058,,[],0,,false,https://aiopeptides.com/product/glutathione-1200mg/,03_raw_fetches/aio-peptides/catalog_3.md,claim-45
aio-peptides:thymosin-alpha-1-5mg,aio-peptides,AIO Peptides,2,ok,Thymosin Alpha-1 5mg,Thymosin Alpha-1,,5,mg,vial,,,55.0,44.0,2025-11-11T00:00:00Z,11.0,,[],0,,false,https://aiopeptides.com/product/thymosin-alpha-1-5mg/,03_raw_fetches/aio-peptides/product_5__thymosin-alpha-1-5mg.md,claim-46
aio-peptides:epitalon-10mg,aio-peptides,AIO Peptides,2,ok,Epitalon 10mg,Epithalon,,10,mg,vial,,,32.0,25.6,2026-01-16T00:00:00Z,3.2,,[],0,,false,https://aiopeptides.com/product/epitalon-10mg/,03_raw_fetches/aio-peptides/catalog_2.md,claim-47
aio-peptides:kisspeptin-10mg,aio-peptides,AIO Peptides,2,ok,Kisspeptin 10mg,other,,10,mg,vial,,,44.0,35.2,2026-01-16T00:00:00Z,4.4,,[],0,,false,https://aiopeptides.com/product/kisspeptin-10mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-48
aio-peptides:l-carnitine-5000mg,aio-peptides,AIO Peptides,2,ok,L-Carnitine 5000mg,other,,5000,mg,vial,,,64.0,51.2,2026-01-16T00:00:00Z,0.013,,[],0,,false,https://aiopeptides.com/product/l-carnitine-5000mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-49
aio-peptides:lipo-c-mic-b12,aio-peptides,AIO Peptides,2,ok,LIPO-C (MIC-B12),other,,0,mg,vial,,,84.0,67.2,2026-01-16T00:00:00Z,0,,[],0,,false,https://aiopeptides.com/product/lipo-pure-mic-b12/,03_raw_fetches/aio-peptides/catalog_4.md,claim-50
aio-peptides:lipo-c-focus,aio-peptides,AIO Peptides,2,ok,LIPO-C (FOCUS),other,,0,mg,vial,,,130.0,104.0,2026-01-16T00:00:00Z,0,,[],0,,false,https://aiopeptides.com/product/lipo-c-focus/,03_raw_fetches/aio-peptides/catalog_4.md,claim-51
aio-peptides:lipo-c-fat-blaster,aio-peptides,AIO Peptides,2,ok,LIPO-C (FAT BLASTER),other,,0,mg,vial,,,140.0,112.0,2026-01-16T00:00:00Z,0,,[],0,,false,https://aiopeptides.com/product/lipo-c-fat-blaster/,03_raw_fetches/aio-peptides/catalog_4.md,claim-52
aio-peptides:lipo-c-super-human,aio-peptides,AIO Peptides,2,ok,LIPO-C (SUPER HUMAN),other,,0,mg,vial,,,150.0,120.0,2026-01-16T00:00:00Z,0,,[],0,,false,https://aiopeptides.com/product/lipo-c-super-human-blend/,03_raw_fetches/aio-peptides/catalog_4.md,claim-53
aio-peptides:pt-141-10mg,aio-peptides,AIO Peptides,2,ok,PT-141 10mg,PT-141,,10,mg,vial,,,44.0,35.2,2026-01-16T00:00:00Z,4.4,,[],0,,false,https://aiopeptides.com/product/pt-141-10mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-54
aio-peptides:kpv-10mg,aio-peptides,AIO Peptides,2,ok,KPV 10mg,KPV,,10,mg,vial,,,80.0,64.0,2026-01-16T00:00:00Z,8.0,,[],0,,false,https://aiopeptides.com/product/kpv-10mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-55
aio-peptides:melanotan-i-10mg,aio-peptides,AIO Peptides,2,ok,Melanotan I 10mg,other,,10,mg,vial,,,30.0,24.0,2026-01-16T00:00:00Z,3.0,,[],0,,false,https://aiopeptides.com/product/melanotan-i-10mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-56
aio-peptides:ll-37-5mg,aio-peptides,AIO Peptides,2,ok,LL-37 5mg,LL-37,,5,mg,vial,,,45.0,36.0,2026-01-16T00:00:00Z,9.0,,[],0,,false,https://aiopeptides.com/product/ll-37-5mg/,03_raw_fetches/aio-peptides/catalog_4.md,claim-57
aio-peptides:pinealon-10mg,aio-peptides,AIO Peptides,2,ok,Pinealon 10mg,Pinealon,,10,mg,vial,,,50.0,40.0,2026-01-16T00:00:00Z,5.0,,[],0,,false,https://aiopeptides.com/product/pinealon-10mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-58
aio-peptides:peg-mgf-2mg,aio-peptides,AIO Peptides,2,ok,PEG-MGF 2mg,MGF,,2,mg,vial,,,45.0,36.0,2026-01-16T00:00:00Z,22.5,,[],0,,false,https://aiopeptides.com/product/peg-mgf-2mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-59
aio-peptides:thymalin-10mg,aio-peptides,AIO Peptides,2,ok,Thymalin 10mg,other,,10,mg,vial,,,45.0,36.0,2026-01-16T00:00:00Z,4.5,,[],0,,false,https://aiopeptides.com/product/thymalin-10mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-60
aio-peptides:cartalax-20mg,aio-peptides,AIO Peptides,2,ok,Cartalax 20mg,other,,20,mg,vial,,,65.0,52.0,2025-11-11T00:00:00Z,3.25,,[],0,,false,https://aiopeptides.com/product/cartalax-20mg/,03_raw_fetches/aio-peptides/catalog_1.md,claim-61
aio-peptides:fox04-dri-10mg,aio-peptides,AIO Peptides,2,ok,FOX04-DRI 10mg,other,,10,mg,vial,,,175.0,140.0,2026-01-16T00:00:00Z,17.5,,[],0,,false,https://aiopeptides.com/product/fox04-dri-10mg/,03_raw_fetches/aio-peptides/catalog_2.md,claim-62
aio-peptides:snap-8-10mg,aio-peptides,AIO Peptides,2,ok,SNAP-8 10mg,other,,10,mg,vial,,,35.0,28.0,2026-01-16T00:00:00Z,3.5,,[],0,,false,https://aiopeptides.com/product/snap-8-10mg/,03_raw_fetches/aio-peptides/catalog_5.md,claim-63
